"direction","distance","value"
45,1781.90908858154,171.724136352539
45,1824.33549514606,172.137924194336
45,1824.33549545273,174.172409057617
45,1866.76190201745,174.862075805664
45,1866.76190232327,176.931030273438
45,1909.18830888885,178.068969726562
45,1909.18830919446,180.068969726562
45,1951.61471576025,180.862075805664
45,1951.61471606565,182.379302978516
45,1994.04112263165,183.034484863281
45,1994.04112293619,183.862075805664
45,2036.46752950305,184.103454589844
45,2036.46752980738,184.379302978516
45,2078.89393637441,184.517242431641
45,2078.89393667857,183.896545410156
45,2121.3203432458,184.586212158203
45,2121.32034354976,183.517242431641
45,2163.7467501172,184.793106079102
45,2163.7467504203,183.034484863281
45,2206.1731569886,184.448272705078
45,2206.17315729149,182.310348510742
45,2248.59956386,184
45,2248.59956416268,181.965515136719
45,2291.0259707314,183.517242431641
45,2291.02597103322,181.517242431641
45,2333.4523776028,183.24137878418
45,2333.45237790441,181.655166625977
45,2375.87878447416,183.379302978516
45,2375.8787847756,182.275863647461
45,2418.30519134555,183.310348510742
45,2418.30519164614,181.862075805664
45,2460.73159821695,182.655166625977
45,2460.73159851733,180.965515136719
45,2503.15800508835,181.655166625977
45,2503.15800538852,179.724136352539
45,2545.58441195975,180.413787841797
45,2545.58441225972,178.310348510742
45,2588.01081883115,179.24137878418
45,2588.01081913025,177.034484863281
45,2630.43722570255,177.862075805664
45,2630.43722600144,174.862075805664
45,2672.8636325739,175.275863647461
45,2672.86363287264,171.068969726562
45,2715.2900394453,170.75862121582
45,2715.29003974317,165.413787841797
45,2757.7164463167,165.206893920898
45,2757.71644661436,159.137924194336
45,2800.1428531881,159.586212158203
45,2800.14285348556,153.24137878418
45,2842.5692600595,153.965515136719
45,2842.56926035609,147.482757568359
45,2884.9956669309,147.413787841797
45,2884.99566722728,141
45,2927.42207380226,139.965515136719
45,2927.42207409848,134.75862121582
45,2969.84848067365,133.482757568359
45,2969.84848096901,130.379302978516
45,3012.27488754505,129.689651489258
45,3012.2748878402,130.827590942383
45,3054.70129441645,131.965515136719
45,3054.7012947114,136.586212158203
45,3097.12770128785,139.068969726562
45,3097.12770158259,144.862075805664
45,3139.55410815925,147.482757568359
